imdb_id,code
tt6566576,9
tt6566576,14
tt6566576,17
tt9701940,9
tt9701940,14
tt9701940,17
tt9701942,14
tt9701942,17
tt12808182,1
tt12808182,3
tt12808182,6
tt7972012,1
tt7972012,6
tt6334354,1
tt6334354,3
tt6334354,6
tt6334354,21
tt6338498,4
tt6338498,3
tt6338498,6
tt6338498,10
tt6338498,16
tt12313458,8
tt10691162,9
tt10691162,14
tt10691162,17
tt10691162,24
tt11762434,1
tt11762434,3
tt11762434,21
tt1937202,22
tt1937202,11
tt0870154,1
tt0870154,3
tt0870154,6
tt0870154,11
tt8332922,9
tt8332922,14
tt8332922,21
tt8332922,24
tt11657662,4
tt11657662,1
tt11657662,3
tt11657662,9
tt11657662,11
tt11657662,17
tt3480822,1
tt3480822,3
tt3480822,21
tt7638348,1
tt7638348,17
tt7638348,21
tt7638348,24
tt0020530,22
tt0020530,11
tt0020530,14
