director_id;name
nm1497918;Andrew Douglas
nm0359734;Michael Haneke
nm0781842;Peter Segal
nm0867784;Barbara Topsøe-Rothenborg
nm0515891;Luis Llosa
nm0089940;Don Bluth
nm0325776;Gary Goldman
nm2630323;Justine Triet
nm1900834;Franck Nataf
nm0000108;Luc Besson
nm0000165;Ron Howard
nm0443505;Clay Kaytis
nm0717678;Fergal Reilly
nm0001429;Takeshi Kitano
nm2391575;David Michôd
nm0339004;Luke Greenfield
nm3781554;John McPhail
nm0502954;John R. Leonetti
nm2497546;David F. Sandberg
nm0136021;Leos Carax
nm0000095;Woody Allen
nm0307497;Alex Garland
nm2122478;Duke Johnson
nm0442109;Charlie Kaufman
nm0629272;Andrew Niccol
nm2648685;Mike Cahill
nm0023355;Christian Alvart
nm0001885;Lars von Trier
nm0529591;Pascal Légitimus
nm14371730;Alex Dell
nm0428618;L.Q. Jones
nm0000338;Francis Ford Coppola
nm0005367;Brian Robbins
nm0425540;Kenneth Johnson
nm1890845;Sean Anders
nm0759270;Pierre Salvadori
nm1490123;James Wan
nm0550881;Frank Marshall
nm2707210;Gavin Rothery
nm1020835;Joe Penna
nm0005616;Aaron Woodley
nm0070899;Jean-Patrick Benes
nm0891216;Matthew Vaughn
nm0001437;Emir Kusturica
nm0001054;Joel Coen
nm0001053;Ethan Coen
nm0956022;Claude Zidi
nm0153078;Larry Charles
nm0777788;Matthias Schweighöfer
nm1164861;Seth Gordon
nm2911073;Matt Aselton
nm0254660;Tony Elliott
nm0948488;Hiromasa Yonebayashi
nm0758933;Jean-Paul Salomé
nm0001501;Louis Malle
nm0506094;Sam Levinson
nm0997291;Justin Kurzel
nm0000697;Billy Wilder
nm1594248;Alexandre Astier
nm3088151;Louis Clichy
nm0149260;Alain Chabat
nm0133899;Guillaume Canet
nm0887351;Pino Van Lamsweerde
nm0331453;René Goscinny
nm0879853;Albert Uderzo
nm0110293;Gaëtan Brizzi
nm0110294;Paul Brizzi
nm0353902;Gerhard Hahn
nm0280745;Stefan Fjeldmark
nm0597026;Jesper Møller
nm0310615;Romain Gavras
nm0873779;Gary Trousdale
nm0936374;Kirk Wise
nm0679031;Brad Peyton
nm0500610;David Leitch
nm0688489;Didier Poiraud
nm0688490;Thierry Poiraud
nm0005645;Enzo Barboni
nm0094080;Fedor Bondarchuk
nm0334824;Rodrigo Grande
nm0001570;Edward Norton
nm0006487;Jim Sheridan
nm1189197;Quentin Dupieux
nm0911910;Vincent Ward
nm0772259;John Schlesinger
nm0586281;Takashi Miike
nm0792202;Kirsten Sheridan
nm0343260;Ulu Grosbard
nm0005366;Jay Roach
nm0006916;Michael Ritchie
nm0281808;Victor Fleming
nm0002030;George Cukor
nm0939992;Sam Wood
nm0712753;Billy Ray
nm0853238;Tate Taylor
nm0923959;Scott Wheeler
nm2320658;Don Hall
nm5945690;Qui Nguyen
nm0923736;Joss Whedon
nm0751577;Anthony Russo
nm0751648;Joe Russo
nm1764816;Mark Raso
nm0003088;Chris Noonan
nm0796124;Charles Shyer
nm0569891;Tom McGrath
nm0942367;Edgar Wright
nm3227090;Damien Chazelle
nm1318381;Nicolas Benamou
nm3743617;Philippe Lacheau
nm0788202;Adam Shankman
nm1473428;Cédric Jimenez
nm2853516;Leslye Headland
nm0002700;Malcolm D. Lee
nm4816401;Adil El Arbi
nm4263190;Bilall Fallah
nm0959062;Terry Zwigoff
nm0914132;Mark Waters
nm0001392;Peter Jackson
nm0440458;Jake Kasdan
nm0757318;Kitao Sakurai
nm2441168;Heo Myeong-haeng
nm0221591;Virginie Despentes
nm0179023;Coralie Trinh Thi
nm0407067;Álex de la Iglesia
nm0000362;Danny DeVito
nm4962035;Guillaume Pierret
nm8066994;Chung-Hyun Lee
nm9507884;Jesse Adang
nm9507885;Syrine Boulanouar
nm0019282;James Algar
nm0035899;Samuel Armstrong
nm0359457;David Hand
nm0373871;Graham Heid
nm0730860;Bill Roberts
nm0766402;Paul Satterfield
nm0942687;Norman Wright
nm0204190;Arthur Davis
nm1461392;Joachim Rønning
nm1650283;Espen Sandberg
nm0000416;Terry Gilliam
nm0603628;Pierre Morel
nm3575557;Kery James
nm8604412;Leïla Sy
nm0281507;Richard Fleischer
nm0389514;David Hogan
nm2561940;Fabrice Eboué
nm1199107;Zach Cregger
nm0491708;Eric Lavaine
nm1950086;Greta Gerwig
nm0510731;Doug Liman
nm0001878;David Zucker
nm0000682;Paul Verhoeven
nm0560329;Burny Mattinson
nm0585150;Dave Michener
nm0139867;Steve Carr
nm0634240;Christopher Nolan
nm0496863;Benson Lee
nm0297935;Kinji Fukasaku
nm0000916;Peter Berg
nm0949210;Michaël Youn
nm0037708;Miguel Arteta
nm0336620;F. Gary Gray
nm0809321;Mel Smith
nm4170048;Ari Aster
nm0596850;Édouard Molinaro
nm0291205;David Frankel
nm0075528;Greg Berlanti
nm0425957;Patrick Read Johnson
nm0505152;Brian Levant
nm0199722;Rod Daniel
nm0590122;Mike Mills
nm4159248;Daniel J. Clark
nm0000816;Jon Avnet
nm0000320;Luis Buñuel
nm0943758;William Wyler
nm0005509;Jon Turteltaub
nm0131995;Joe Camp
nm0154819;Jeremiah S. Chechik
nm0125186;Hendel Butoy
nm0300265;Mike Gabriel
nm0705675;Robert Radler
nm2880943;Liam O'Donnell
nm1234012;Julien Rambaldi
nm0000123;George Clooney
nm0244967;Claude Duty
nm3079666;Mamane
nm0644022;Bob Odenkirk
nm0001508;Penny Marshall
nm0516344;Wei Lo
nm0156927;Chia-Hsiang Wu
nm0240797;Dennis Dugan
nm0331532;Raja Gosnell
nm0294997;Jason Friedberg
nm0783536;Aaron Seltzer
nm0213100;William Dear
nm0661751;Dean Parisot
nm0197636;Stephen Daldry
nm0205542;Tamra Davis
nm0954437;Ariel Zeitoun
nm0081540;Susanne Bier
nm0665041;David Pastor
nm1883612;Àlex Pastor
nm4014166;Cathy Yan
nm0000570;Alan Parker
nm0268543;Dominique Farrugia
nm1429471;Jaume Collet-Serra
nm3222363;Emmanuel Osei-Kuffour
nm0224801;Yi'nan Diao
nm3515833;Adam Berg
nm3363032;Ryan Coogler
nm0220600;Scott Derrickson
nm2204480;Jonathan King
nm0108132;Craig Brewer
nm2660604;Thomas Ngijol
nm0430629;Karole Rocher
nm0702797;Steven Quale
nm0004716;Darren Aronofsky
nm0795153;Cate Shortland
nm0838198;Kevin Rodney Sullivan
nm0000490;Spike Lee
nm1098377;Sam Macaroni
nm0635759;Stephen Norrington
nm0868219;Guillermo del Toro
nm0898288;Denis Villeneuve
nm0275286;David S. Goyer
nm0075666;Joe Berlinger
nm0398244;John Howley
nm0183183;William Cottrell
nm0604392;Larry Morey
nm0668998;Perce Pearce
nm0789313;Ben Sharpsteen
nm2782185;Rupert Sanders
nm0169931;Michael Cohn
nm0007082;John Stockwell
nm1385075;Felix Fuchssteiner
nm1691076;Katharina Schöde
nm0002973;Lev L. Spiro
nm0000106;Drew Barrymore
nm0231596;Andrew Dominik
nm0001880;Edward Zwick
nm0457541;Hiroyuki Kitakubo
nm0036582;Newt Arnold
nm0340958;Alister Grierson
nm4017355;Colin Minihan
nm0000361;Brian De Palma
nm3924049;Angel Manuel Soto
nm0001243;William Friedkin
nm1024677;John Krasinski
nm2858850;Julio Quintana
nm0161834;Derek Cianfrance
nm0000186;David Lynch
nm3102998;Bo Burnham
nm0611683;Russell Mulcahy
nm0994538;Joseph Kahn
nm0717603;Halina Reijn
nm0413875;Mick Jackson
nm0422484;Norman Jewison
nm0001741;Bryan Singer
nm1571412;Yann Gozlan
nm0125803;Bobby Farrelly
nm0268380;Peter Farrelly
nm0637518;Phillip Noyce
nm0951975;S. Craig Zahler
nm0345174;Luca Guadagnino
nm0005116;Mary Lambert
nm0157352;Yvan Chiffre
nm0950109;Terence Young
nm0000759;Paul Thomas Anderson
nm1312575;Olivia Wilde
nm0399737;Reginald Hudlin
nm0138620;Joe Carnahan
nm0432040;Gérard Jugnot
nm0180462;Jérôme Cornuau
nm0000233;Quentin Tarantino
nm0905154;Lana Wachowski
nm0905152;Lilly Wachowski
nm0000568;Frank Oz
nm0601619;Michael Moore
nm1259871;John Crowley
nm0005303;Kimberly Peirce
nm3584506;Gerard Barrett
nm0283500;John Flynn
nm0103785;Zach Braff
nm0000154;Mel Gibson
nm0000455;John Hughes
nm0404485;James Huth
nm0536632;Sharon Maguire
nm0452319;Beeban Kidron
nm0043742;David Ayer
