prod_id;name
co0001027;Cricket Films
co0001034;Sider Film
co0001037;Total Film Group
co0001039;Kineversal Productions
co0001042;Goatworks Films
co0001049;Filmwave Pictures
co0001057;Acrobat Productions
co0001061;Water
co0001063;Shaw-Breakston Enterprises
co0001067;Fono Film
co0001068;Productores Exhibidores Films Sociedad Anónima (PEFSA)
co0001069;Conseil Général de l'Aisne
co0001074;G.E.F.
co0001078;Acar Film
co0001088;Dominant Pictures Corporation
co0001095;Israel Cable Programming (ICP)
co0001099;Worldview Entertainment
co0001100;Pacific Motion Pictures
co0001105;Hakuhodo
co0001109;Jacques Le Glou Audiovisuel
co0001110;Sony Computer Entertainment
co0001112;Hunter/MFG Production
co0001114;Roy Andersson Filmproduktion AB
co0001115;S.T.P. International Inc.
co0001119;Civite Casa Films
co0001137;Bhansali Films
co0001141;The Vanya Company
co0001144;Shark Hunter Productions
co0001146;WIP
co0001152;Das Films
co0001155;Betar Entertainment
co0001156;Tecnovisual
co0001159;MTA
co0001165;Télé Média
co0001168;L.A. Digital Post
co0001174;Cinema 7
co0001175;TV-Ventures
co0001176;Trionfalciné
co0001178;Entre Chien et Loup
co0001194;Ottokar Runze Filmproduktion
co0001200;Minnow Pictures
co0001203;Arcturus Productions
co0001210;Brilliant Idea Group (BIG)
co0001212;Bluehorse Films
co0001215;Tele-Metropole International
co0001218;Studio On Hudson
co0001221;Sunset Productions
co0001222;Cineart Production
co0001235;Penthouse Video
co0001239;PAN Film
co0001243;Platinum Entertainment
co0001256;Pacific Title
co0001257;Italmedia Film
co0001263;Forum Sarajevo
co0001270;Overseas FilmGroup
co0001281;Investimage 3
co0001282;Northern Lights
co0001283;Laterit Productions
co0001286;Magyar Filmgyártó Vállalat
co0001290;Cinematográfica Valdés
co0001291;Group Dataciné
co0001292;Doomed Productions Ltd.
co0001295;Hollywood Films
co0001304;Skipped Parts Productions
co0001308;Consorcio Europa
co0001315;Alva Motion Pictures
co0001332;Vertice Film
co0001335;Filmswell International Ltd.
co0001338;The Firm
co0001342;Bongiorno Productions
co0001349;Surreal Productions
co0001355;Oberón Cinematográfica
co0001356;Canal+ Horizons
co0001359;Gravity Hill Films
co0001370;Bow & Axe
co0001381;Film 50
co0001385;Trillium Productions
co0001399;Sil-Metropol Organization
co0001406;Century
co0001411;Les Films de l'Arlequin
co0001415;Bundesamt für Kultur (EDI)
co0001424;Svenska Filmkompaniet
co0001429;Münchner Lichtspielkunst AG (Emelka)
co0001430;MR Films
co0001443;Euterpe
co0001453;Sheinberg Productions
co0001454;Wilde Films Plc
co0001456;Les Films Cosok
co0001459;Black Cat Enterprises (BCE)
co0001462;Stella Film
co0001467;Jozan Film
co0001470;Pine-Thomas Productions
co0001471;Vanguard Entertainment
co0001473;Gaurang Doshi Productions
co0001482;Dark Lantern Pictures
co0001485;Eadenrock Ltd.
co0001486;Millimages
co0001490;Producciones Cinematográficas Balcazar
co0001498;Raimbourg
co0001499;Sweetwater Productions
co0001501;Velocity Trap Productions Inc.
co0001505;Roos Film
co0001506;Ogopogo Prod. Ltd.
co0001523;Nissho Iwai Corporation
co0001526;Cornerstone Films
co0001530;DMVB Films
co0001537;Rézo Films
co0001539;Ballistic Pictures
co0001541;Gardenia Producciones
co0001548;Jorge Estrada Mora Producciones
co0001555;Gloria Swanson Pictures
co0001562;Gekidan Himawari
co0001567;International Film Marketing
co0001570;Rubicon Film Productions Ltd.
co0001573;Marie Coline Films
co0001583;Felix Cinematografica
co0001584;Produzioni De Laurentiis International Manufacturing Company
co0001590;Lyla Films
co0001595;Hoygensha
co0001609;North Branch Entertainment
co0001610;Lasihelmi Filmi
co0001615;Urania-Film
co0001616;Infinity
co0001617;United Entertainment Corporation
co0001622;Hark Bohm Film Productions
co0001624;Distra
co0001628;Blade Runner Partnership
co0001639;Aurelia Cinematografica
co0001640;Victora Film A/S
co0001642;Studioul Cinematografic Bucuresti
co0001649;Classic
co0001650;Luna Pictures
co0001651;RZ Film 80, Belgrade
co0001653;Perfect Circle Productions
co0001657;Bridas
co0001660;MTV Productions
co0001671;Istanbul Film
co0001672;Viva Productions
co0001677;MYI Entertainment
co0001681;Sky Point
co0001685;Ardican Films
co0001694;Cinesthesia Productions
co0001697;Flenher Films
co0001698;Lemon Sky Productions
co0001700;Andros Films Española
co0001701;RAMA Films
co0001702;Deutsche Film-Gemeinschaft
co0001710;Sharmshir
co0001711;Cooperativa 15 Maggio
co0001722;Adria Film
co0001724;Belgische Radio en Televisie (BRTN)
co0001729;Vegas Knights Film Productions Ltd.
co0001732;Gold Leaf International Ltd.
co0001733;Nebuchadnezzar Productions
co0001737;Argentarts
co0001739;Hillworth Productions A.G.
co0001753;Kudzu
co0001755;Eurociné
co0001757;AMLF
co0001760;Primedia Productions
co0001775;Continental Film Group Ltd.
co0001781;Zespol Filmowy
co0001782;Harold Hecht Productions
co0001799;Sony
co0001801;Mulholland Productions
co0001802;Doria
co0001803;New Line Productions
co0001821;Film Consortium of Canada
co0001823;Wayans Bros. Entertainment
co0001829;Coralta Cinematografica
co0001836;TMH Corporation
co0001838;Concorde Pictures
co0001840;Flag Production
co0001846;Mark Damon Productions (MDP Worldwide)
co0001849;Elysian Pictures
co0001850;Columbia TriStar
co0001857;Hard Eight Pictures
co0001862;The Original Motion Picture Company
co0001863;Rigel Entertainment
co0001864;Mica Films
co0001865;Natant
co0001866;Marsa film
co0001874;Tandem Productions
co0001882;Ostdeutscher Rundfunk Brandenburg (ORB)
co0001890;Prosper Film Productions
co0001893;International West Pictures (IWP)
co0001896;France Média
co0001897;Investco NV
co0001898;Taodue Film
co0001900;Terryrod
co0001906;Inducine
co0001908;Orion Film
co0001911;Camera Noire
co0001918;Won World
co0001924;Creative Axa Co. Ltd.
co0001931;Church Hill Productions
co0001935;Film i Väst
co0001938;Carson Productions
co0001939;Frozen Assets Productions
co0001943;Maa Sherawali Productions
co0001945;Madison Film
co0001946;Donners' Company
co0001949;Ridgewood Associates
co0001958;First Private Bank
co0001977;Belvision
co0001987;Producciones Cinematográficas Cine XX
co0001992;Debut Productions
co0001995;Orion Pictures
co0001998;Theatre Le Rex S.A.
co0002000;Mefistofilm A/S
co0002009;L H and O Limited
co0002017;Pennies From Heaven Ltd.
co0002022;Sofinergie 1
co0002024;Palomar Films
co0002030;La-ong Dao
co0002041;Lost Highway Productions LLC
co0002043;Paris Film
co0002052;13 Productions
co0002056;Vox Film
co0002057;Vijaya Pictures
co0002067;Carrasco & Domingo Films S.A. de C.V.
co0002073;Neue Emelka
co0002084;Kinokuniya
co0002085;Film Development Corporation
co0002091;Azpeitia Cine
co0002093;SF Norge A/S
co0002096;Bedford Pictures Inc.
co0002097;Say Nothing Films Inc.
co0002101;Bibi Productions
co0002102;Freeze Frame Entertainment
co0002103;Roundhouse
co0002104;SEDPA
co0002110;Rhombus Film
co0002117;Lunde Film
co0002124;Shipman-Curwood Company
co0002129;Les Films du Dorlis
co0002135;Seven Star Film
co0002139;Lucius Films
co0002140;Double Yolker Films
co0002144;American Pictures Company
co0002149;Rosa Productions
co0002150;Most Group
co0002152;Shanghai'd Films
co0002153;Team Okuyama
co0002159;Rocket Pictures
co0002163;Corporation Image M & M
co0002171;Evangelische Omroep (EO)
co0002172;D.S. Pictures
co0002175;Dundee Productions
co0002176;Olmo Films S.L.
co0002186;Oasis Films
co0002190;Sydney Box Associates
co0002196;Envision Management
co0002198;LATIF
co0002211;Producción Nacional de Films
co0002212;Production I.G.
co0002214;Les Productions René Goscinny
co0002215;The Film Company
co0002217;Mypheduh Films
co0002219;Toho Company
co0002222;ITVS
co0002224;Banfilm
co0002226;United Independent Pictures Ltd.
co0002227;Michael Thevis Enterprises Production
co0002230;Ministerio de Cultura
co0002239;W.O.W. Productions
co0002253;Athena Enterprises
co0002254;Filmförderungsanstalt (FFA)
co0002255;Kvadar
co0002256;V. Creations
co0002257;Constantin Film
co0002261;Cooperative
co0002264;Compagnie Industrielle et Commerciale Cinématographique (CICC)
co0002267;Cinemavault
co0002275;Shu Kei's Creative Workshop Ltd.
co0002276;Unit 3 mm
co0002282;Nuova Glassia Films
co0002283;Elif Film
co0002284;Kokusai Hoei
co0002288;Umbrella Films
co0002289;Europa Films
