movie_id;french_title;original_title;year;duration;rating;num_rate;budget
tt0352531;Le perdant ramasse tout;O hamenos ta pairnei ola;2002;121.0;6.8;1285.0;
tt0117315;Le père;Pedar;1996;91.0;7.5;1333.0;
tt0042451;Le père de la mariée;Father of the Bride;1950;92.0;7.2;10111.0;
tt0101862;Le père de la mariée;Father of the Bride;1991;105.0;6.5;69306.0;
tt0113041;Le père de la mariée II;Father of the Bride Part II;1995;106.0;6.1;34804.0;30000000.0
tt1356928;Le père de mes enfants;Le père de mes enfants;2009;110.0;6.7;2450.0;2457000.0
tt10416008;Le père de Nafi;Baamum Nafi;2019;107.0;7.0;96.0;
tt5612576;Le Pere d'italia;Il padre d'Italia;2017;92.0;6.4;676.0;
tt0169828;Le Père du soldat;Jariskatsis mama;1964;87.0;8.6;3909.0;
tt0052325;Le père malgré lui;The Tunnel of Love;1958;98.0;6.0;1134.0;
tt3532850;Le Père Noël;Le père Noël;2014;80.0;6.3;664.0;
tt0060872;Le père Noël a les yeux bleus;Le père Noël a les yeux bleus;1966;50.0;7.0;386.0;
tt1369647;Le Père Noël d'à côté;Christmas Angel;2009;87.0;6.6;1284.0;
tt0008395;Le père Serge;Otets Sergiy;1918;112.0;7.0;481.0;
tt0038863;Le père tranquille;Le père tranquille;1946;95.0;6.6;218.0;
tt5511970;Le périple;Le périple;2017;88.0;3.9;137.0;
tt0105090;Le perroquet;Der Papagei;1992;90.0;6.4;110.0;
tt0418115;Le perroquet rouge;Der rote Kakadu;2006;128.0;6.8;799.0;
tt0070451;Le Pervers;No es nada, mamá, sólo un juego;1974;85.0;4.9;135.0;
tt0051666;Le Petit Arpent du Bon Dieu;God's Little Acre;1958;118.0;6.6;1730.0;
tt0029019;Le petit bagarreur;Hoosier Schoolboy;1937;62.0;5.6;143.0;
tt0119545;Le petit Bigfoot - En route vers la maison;Little Bigfoot 2: The Journey Home;1998;93.0;3.0;182.0;
tt26680456;Le Petit Blond de la Casbah;Le petit blond de la casbah;2023;126.0;6.4;13.0;
tt0064804;Le petit bougnat;Le petit bougnat;1970;95.0;5.8;141.0;
tt0021079;Le petit César;Little Caesar;1931;79.0;7.2;12221.0;
tt0093831;Le petit chaperon rouge;Red Riding Hood;1987;81.0;5.8;372.0;
tt0135654;Le Petit Chauffeur;To soferaki;1953;95.0;7.1;137.0;
tt0239096;Le petit cheval bossu;Konyok-gorbunok;1975;73.0;7.6;952.0;
tt0046799;Le petit cireur;Boot Polish;1954;149.0;8.1;741.0;
tt0016029;Le petit colonel;The Little Colonel;1935;81.0;7.1;1477.0;
tt1695770;Le petit corbeau;Der kleine Rabe Socke;2012;78.0;6.1;147.0;
tt0100357;Le petit criminel;Le petit criminel;1990;100.0;6.8;364.0;
tt0008499;Le petit démon;Rebecca of Sunnybrook Farm;1917;78.0;6.1;782.0;
tt0095869;Le petit diable;Il piccolo diavolo;1988;98.0;7.0;3639.0;
tt0018051;Le petit frère;The Kid Brother;1927;82.0;7.6;3887.0;
tt0046004;Le Petit Fugitif;Little Fugitive;1953;80.0;7.5;2521.0;30000.0
tt0063876;Le petit garçon;Shônen;1969;105.0;7.5;1403.0;
tt0046003;Le petit garçon perdu;Little Boy Lost;1953;95.0;7.0;263.0;
tt0024262;Le petit géant;The Little Giant;1933;76.0;7.1;1143.0;197000.0
tt0092695;Le Petit Grille-pain courageux;The Brave Little Toaster;1987;90.0;7.3;23726.0;2300000.0
tt0910554;Le petit guide du voyage dans le temps;Frequently Asked Questions About Time Travel;2009;83.0;7.1;32487.0;
tt0102316;Le petit homme;Little Man Tate;1991;99.0;6.6;13947.0;10000000.0
tt3469960;Le petit homme;Macondo;2014;98.0;6.6;271.0;
tt0431979;Le petit lieutenant;Le petit lieutenant;2005;110.0;7.0;2307.0;
tt5114982;Le Petit Locataire;Le locataire;2016;100.0;5.9;450.0;
tt0027893;Le petit Lord Fauntleroy;Little Lord Fauntleroy;1936;102.0;7.2;1905.0;
tt0012397;Le petit Lord Fauntleroy;Little Lord Fauntleroy;1921;112.0;6.7;283.0;
tt1609122;Le Petit Magicien;Het geheim;2010;90.0;6.6;371.0;
tt0413895;Le petit monde de Charlotte;Charlotte's Web;2006;97.0;6.3;37621.0;85000000.0
tt0070016;Le Petit Monde de Charlotte;Charlotte's Web;1973;94.0;6.9;16973.0;
tt0043918;Le petit monde de Don Camillo;Don Camillo;1952;107.0;7.7;4127.0;
tt1264904;Le petit Nicolas;Le Petit Nicolas;2009;91.0;7.1;12451.0;26559000.0
tt10290244;Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux?;Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux ?;2022;82.0;7.4;91.0;
tt0249081;Le petit poucet;Le petit poucet;2001;90.0;5.2;826.0;12060000.0
tt1754656;Le Petit Prince;Le Petit Prince;2015;108.0;7.7;57193.0;81200000.0
tt0071762;Le petit prince;The Little Prince;1974;88.0;6.6;3377.0;
tt0105131;Le petit prince a dit;Le petit prince a dit;1992;105.0;7.0;424.0;
tt0054177;Le Petit Soldat;Le petit soldat;1963;88.0;7.2;6406.0;180000.0
tt6194538;Le petit Spirou;Le petit Spirou;2017;86.0;4.6;331.0;10530000.0
tt1764666;Le petit train bleu;The Little Engine That Could;2011;83.0;5.5;309.0;
tt0043046;Le petit train du Far West;A Ticket to Tomahawk;1950;90.0;6.1;559.0;
tt0050835;Le petit vagabond;El pequeño ruiseñor;1957;98.0;4.8;103.0;
tt4729560;Le petit vampire;The Little Vampire 3D;2017;83.0;5.5;1395.0;10000000.0
tt0192255;Le petit vampire;The Little Vampire;2000;95.0;5.8;9714.0;35000000.0
tt0184115;Le petit voleur;Le petit voleur;1999;100.0;7.0;604.0;
tt0043914;Le peuple accuse O'Hara;The People Against O'Hara;1951;102.0;6.8;1175.0;1000000.0
tt0049516;Le peuple de l'enfer;The Mole People;1956;77.0;5.0;3113.0;200000.0
tt0063240;Le Peuple des abîmes;The Lost Continent;1968;89.0;5.7;1744.0;
tt0283632;Le peuple des ténèbres;They;2002;89.0;4.8;12348.0;17000000.0
tt5198068;Le peuple loup;WolfWalkers;2020;103.0;8.1;24989.0;12000000.0
tt18260116;Le pharaon, le sauvage et la princesse;Le pharaon, le sauvage et la princesse;2022;83.0;7.9;11.0;4329000.0
tt0268755;Le Phare de la peur;Watchtower;2001;100.0;4.6;711.0;3417000.0
tt0139426;Le phare de l'angoisse;Lighthouse;1999;95.0;4.9;1177.0;1800000.0
tt0067345;Le Phare du bout du monde;The Light at the Edge of the World;1971;120.0;6.2;1321.0;11000000.0
tt0301730;Le pharmacien de garde;Le pharmacien de garde;2003;84.0;5.1;609.0;6435000.0
tt0095864;Le philosophe;Der Philosoph;1989;83.0;6.2;179.0;
tt7778680;Le photographe;Photograph;2019;110.0;6.8;4247.0;
tt0039901;Le pic de la mort;Thunder Mountain;1947;60.0;6.1;103.0;
