movie_id;genre_id
tt0000009;20
tt0000009;22
tt0000417;1
tt0000417;3
tt0000417;22
tt0000574;1
tt0000574;3
tt0000574;5
tt0000574;7
tt0000574;9
tt0000574;13
tt0000574;24
tt0000574;26
tt0001892;9
tt0002101;9
tt0002101;13
tt0002130;3
tt0002130;9
tt0002130;11
tt0002130;14
tt0002199;5
tt0002199;9
tt0002423;5
tt0002423;9
tt0002423;20
tt0002445;9
tt0002445;13
tt0002452;13
tt0002452;25
tt0002461;9
tt0002646;9
tt0002844;7
tt0002844;9
tt0003014;9
tt0003037;7
tt0003037;9
tt0003102;9
tt0003131;9
tt0003131;25
tt0003165;7
tt0003165;9
tt0003165;17
tt0003167;9
tt0003419;9
tt0003419;11
tt0003419;14
tt0003419;20
tt0003471;7
tt0003471;9
tt0003489;3
tt0003489;9
tt0003637;9
tt0003643;7
tt0003643;9
tt0003643;14
tt0003657;26
tt0003740;3
tt0003740;9
tt0003740;13
tt0003740;25
tt0003772;9
tt0003772;11
tt0003883;7
tt0003883;9
tt0003930;7
tt0003930;9
tt0003973;6
tt0004026;14
tt0004066;9
tt0004066;17
tt0004099;3
tt0004099;6
tt0004099;10
tt0004099;11
tt0004134;9
tt0004134;11
tt0004150;9
tt0004150;13
tt0004181;9
tt0004457;3
tt0004457;6
tt0004457;10
tt0004457;11
tt0004465;1
tt0004465;3
tt0004465;9
tt0004635;1
tt0004635;9
tt0004635;20
tt0004635;26
tt0004681;9
tt0004707;6
tt0004712;9
tt0004743;9
tt0004766;26
tt0004825;6
tt0004825;9
tt0004838;9
tt0004838;20
tt0004872;7
tt0004872;9
tt0004873;3
tt0004873;10
tt0004873;11
tt0004972;9
tt0004972;13
tt0004972;25
tt0005060;9
tt0005078;9
tt0005078;20
tt0005149;9
tt0005149;13
tt0005149;25
tt0005339;9
tt0005402;9
tt0005529;7
tt0005529;9
tt0005529;14
tt0005529;17
tt0005529;24
tt0005557;9
tt0005680;3
tt0005719;9
tt0005719;13
tt0005719;25
tt0005719;26
tt0005809;9
tt0005916;9
tt0005951;9
tt0005951;11
tt0005951;14
tt0005951;17
tt0005960;5
tt0005960;7
tt0005960;9
tt0005960;20
tt0006206;1
tt0006206;3
tt0006206;7
tt0006206;9
tt0006206;17
tt0006206;24
tt0006327;6
tt0006327;20
tt0006333;1
tt0006333;3
tt0006333;21
tt0006509;9
tt0006517;9
tt0006517;25
tt0006589;9
tt0006617;6
tt0006617;7
tt0006617;9
tt0006617;17
tt0006617;24
tt0006688;3
tt0006688;6
tt0006731;7
tt0006731;9
tt0006736;20
tt0006736;26
tt0006745;7
tt0006745;9
tt0006745;20
tt0006753;26
tt0006780;20
tt0006780;26
tt0006809;6
tt0006826;6
tt0006826;9
tt0006826;20
tt0006864;9
tt0006864;13
tt0006886;3
tt0006886;7
tt0007047;6
tt0007047;20
tt0007183;9
tt0007183;11
tt0007183;14
tt0007257;1
tt0007257;6
tt0007257;9
tt0007260;1
tt0007260;3
tt0007260;20
tt0007260;26
tt0007309;6
tt0007338;17
tt0007340;9
tt0007361;11
tt0007361;20
tt0007367;6
tt0007367;9
tt0007522;9
tt0007558;9
tt0007610;9
tt0007610;26
tt0007755;26
tt0007801;5
tt0007801;9
tt0007801;13
tt0007983;14
tt0008011;6
tt0008100;3
tt0008100;11
tt0008100;21
tt0008150;3
tt0008150;9
tt0008150;13
tt0008150;17
tt0008150;25
tt0008188;9
tt0008188;20
tt0008188;25
tt0008196;9
tt0008279;9
tt0008309;3
tt0008309;6
tt0008309;26
tt0008395;5
tt0008395;9
tt0008395;13
tt0008443;6
tt0008443;9
tt0008443;10
tt0008443;11
tt0008443;20
tt0008489;3
tt0008489;7
tt0008489;20
tt0008499;6
tt0008499;9
tt0008519;3
tt0008519;6
tt0008519;9
tt0008519;13
tt0008519;20
tt0008519;26
tt0008536;9
tt0008634;26
tt0008652;9
tt0008652;13
tt0008652;20
tt0008652;25
tt0008663;9
tt0008663;25
tt0008672;6
tt0008679;6
tt0008687;3
tt0008687;6
tt0008687;9
tt0008710;9
tt0008775;6
tt0008775;20
tt0008775;26
tt0008827;6
tt0008827;20
tt0008843;9
tt0008854;9
tt0008854;14
tt0008879;9
tt0008891;10
tt0008891;11
tt0008930;20
tt0008950;9
tt0009014;9
tt0009062;6
tt0009086;9
tt0009086;20
tt0009150;9
tt0009150;25
tt0009153;26
tt0009241;6
tt0009241;20
tt0009326;6
tt0009326;9
tt0009356;9
tt0009369;6
tt0009369;9
tt0009440;9
tt0009475;6
tt0009475;20
tt0009559;9
tt0009559;20
tt0009608;9
tt0009611;6
tt0009611;22
tt0009611;25
tt0009652;9
tt0009682;1
tt0009682;3
tt0009701;3
tt0009701;17
tt0009737;9
tt0009737;25
tt0009796;9
tt0009878;7
tt0009878;9
tt0009878;13
tt0009878;20
tt0009892;9
