movie_id;country_id
tt0000009;184
tt0000417;60
tt0000574;10
tt0001892;46
tt0001892;64
tt0002101;184
tt0002130;86
tt0002199;184
tt0002423;64
tt0002445;86
tt0002452;148
tt0002461;60
tt0002461;184
tt0002646;46
tt0002844;60
tt0003014;168
tt0003037;60
tt0003102;86
tt0003131;17
tt0003131;60
tt0003165;60
tt0003167;184
tt0003419;64
tt0003471;184
tt0003489;86
tt0003637;86
tt0003643;184
tt0003657;184
tt0003740;86
tt0003772;184
tt0003883;60
tt0003930;60
tt0003973;184
tt0004026;64
tt0004066;46
tt0004099;184
tt0004134;184
tt0004150;31
tt0004150;184
tt0004181;184
tt0004457;184
tt0004465;184
tt0004635;184
tt0004681;184
tt0004707;184
tt0004712;77
tt0004743;184
tt0004766;184
tt0004825;184
tt0004838;184
tt0004872;184
tt0004873;184
tt0004972;184
tt0005060;184
tt0005078;184
tt0005149;184
tt0005339;184
tt0005402;184
tt0005529;46
tt0005557;184
tt0005680;86
tt0005719;184
tt0005809;184
tt0005916;149
tt0005951;86
tt0005960;184
tt0006206;60
tt0006327;184
tt0006333;184
tt0006509;184
tt0006517;184
tt0006589;184
tt0006617;168
tt0006688;184
tt0006731;184
tt0006736;184
tt0006745;184
tt0006753;184
tt0006780;184
tt0006809;184
tt0006826;184
tt0006864;184
tt0006886;60
tt0007047;184
tt0007183;149
tt0007257;184
tt0007260;184
tt0007309;64
tt0007338;184
tt0007340;184
tt0007361;184
tt0007367;184
tt0007522;168
tt0007558;184
tt0007610;184
tt0007755;184
tt0007801;184
tt0007983;64
tt0008011;184
tt0008100;46
tt0008150;184
tt0008188;184
tt0008196;184
tt0008279;60
tt0008309;184
tt0008395;149
tt0008443;184
tt0008489;184
tt0008499;184
tt0008519;184
tt0008536;149
tt0008634;184
tt0008652;184
tt0008663;168
tt0008672;168
tt0008679;184
tt0008687;184
tt0008710;168
tt0008775;184
tt0008827;184
tt0008843;77
tt0008854;64
tt0008879;168
tt0008891;184
tt0008930;184
tt0008950;64
tt0009014;60
tt0009062;64
tt0009086;184
tt0009150;184
tt0009153;184
tt0009241;184
tt0009326;184
tt0009356;184
tt0009369;184
tt0009440;184
tt0009475;184
tt0009559;184
tt0009608;184
tt0009611;184
tt0009652;184
tt0009682;184
tt0009701;60
tt0009737;184
tt0009796;184
tt0009878;64
tt0009892;184
tt0009893;64
tt0009894;114
tt0009900;31
tt0009915;184
tt0009937;184
tt0009968;184
tt0009976;184
tt0010040;184
tt0010060;184
tt0010071;184
tt0010103;184
tt0010137;184
tt0010162;184
tt0010193;184
tt0010195;184
tt0010208;64
tt0010219;184
tt0010227;184
tt0010247;168
tt0010267;184
tt0010281;64
tt0010298;168
tt0010307;60
tt0010323;64
tt0010418;184
tt0010456;64
tt0010466;184
tt0010484;184
tt0010559;64
tt0010598;46
tt0010600;64
tt0010635;184
tt0010662;184
tt0010680;10
tt0010726;64
tt0010755;168
tt0010806;184
tt0010821;64
tt0010844;184
tt0010853;184
tt0010879;184
tt0010890;184
tt0010925;184
tt0010953;64
tt0010962;64
tt0010964;184
tt0010969;17
tt0010969;60
tt0011000;46
tt0011130;184
tt0011157;168
tt0011173;133
tt0011193;184
tt0011217;46
tt0011217;64
tt0011221;64
tt0011237;64
tt0011267;184
tt0011294;60
tt0011302;60
tt0011317;184
tt0011344;184
tt0011358;184
tt0011369;64
tt0011370;168
tt0011371;64
tt0011387;184
tt0011414;184
tt0011415;184
tt0011439;184
tt0011440;133
tt0011474;184
tt0011513;184
tt0011588;184
tt0011607;168
tt0011623;184
tt0011641;64
tt0011647;184
tt0011652;184
tt0011679;184
tt0011716;184
tt0011723;64
tt0011741;184
tt0011742;64
tt0011753;184
tt0011779;184
tt0011833;64
tt0011837;64
tt0011841;184
tt0011865;184
tt0011870;184
tt0011904;184
tt0011908;184
tt0011909;184
tt0011948;184
tt0011960;64
tt0011979;184
tt0012016;184
tt0012027;184
tt0012068;184
tt0012122;184
tt0012125;184
tt0012134;60
tt0012136;184
tt0012187;184
tt0012190;184
tt0012249;64
tt0012281;64
tt0012313;64
tt0012314;64
tt0012334;168
tt0012349;184
tt0012364;168
tt0012382;184
tt0012397;184
tt0012408;184
tt0012465;184
tt0012486;184
tt0012494;64
tt0012513;184
tt0012532;184
tt0012538;184
tt0012631;88
tt0012642;184
tt0012645;64
tt0012650;64
tt0012651;64
tt0012675;184
tt0012699;184
tt0012745;60
tt0012752;184
tt0012755;184
tt0012763;184
tt0012769;184
tt0012806;64
tt0012928;184
tt0012938;184
tt0012952;184
tt0012973;64
tt0012975;184
tt0013033;17
tt0013033;60
tt0013059;46
tt0013075;184
tt0013085;184
tt0013122;60
tt0013134;184
tt0013140;184
tt0013169;64
tt0013201;184
tt0013223;184
tt0013332;184
tt0013367;184
tt0013372;184
tt0013386;184
tt0013402;184
tt0013404;184
tt0013428;64
tt0013442;64
tt0013450;184
tt0013469;64
tt0013496;64
tt0013515;184
tt0013556;184
tt0013571;184
tt0013574;184
tt0013579;64
tt0013590;184
tt0013592;184
tt0013597;184
tt0013607;184
tt0013619;11
tt0013662;184
tt0013674;184
tt0013688;184
tt0013704;184
tt0013705;180
tt0013741;64
tt0013750;184
tt0013802;184
tt0013830;64
tt0013909;184
tt0013933;60
tt0013951;184
tt0014029;184
tt0014108;168
tt0014109;168
tt0014112;184
tt0014142;184
tt0014205;184
tt0014341;184
tt0014358;184
tt0014397;64
tt0014416;184
tt0014417;60
tt0014429;184
tt0014440;184
tt0014446;64
tt0014463;184
tt0014497;184
tt0014516;64
tt0014524;64
tt0014532;184
tt0014538;184
tt0014586;64
tt0014604;184
tt0014605;184
tt0014606;184
tt0014611;184
tt0014624;184
tt0014636;184
tt0014646;162
tt0014672;184
tt0014702;184
tt0014721;184
tt0014760;184
tt0014770;184
tt0014826;184
tt0014854;184
tt0014869;184
tt0014874;184
tt0014898;60
tt0014900;64
tt0014925;184
tt0014945;184
tt0014972;184
tt0014982;184
tt0015002;184
tt0015014;60
tt0015016;184
tt0015018;184
tt0015022;184
tt0015036;60
tt0015064;64
tt0015116;184
tt0015119;184
tt0015136;64
tt0015145;184
tt0015163;184
tt0015167;162
tt0015174;64
tt0015175;64
tt0015200;184
tt0015202;11
tt0015202;64
tt0015213;162
tt0015214;60
tt0015224;184
tt0015268;184
tt0015289;184
tt0015310;184
tt0015312;184
tt0015324;184
tt0015361;162
tt0015400;184
tt0015493;180
tt0015498;184
tt0015500;184
tt0015518;184
tt0015532;64
tt0015624;184
tt0015634;184
tt0015643;184
tt0015648;162
tt0015684;184
tt0015687;184
tt0015693;184
tt0015758;184
tt0015768;46
tt0015772;184
tt0015794;60
tt0015801;60
tt0015841;184
tt0015842;64
tt0015847;88
tt0015861;133
tt0015861;168
tt0015863;184
tt0015864;184
tt0015872;184
tt0015881;184
tt0015883;60
tt0015909;184
tt0015935;35
tt0016004;184
tt0016005;184
tt0016006;184
tt0016013;184
tt0016023;184
tt0016028;184
tt0016029;184
tt0016039;184
tt0016104;184
tt0016123;184
tt0016142;184
tt0016185;88
tt0016201;184
tt0016205;184
tt0016220;184
tt0016226;184
tt0016230;64
tt0016230;180
tt0016232;60
tt0016240;64
tt0016240;79
tt0016241;184
tt0016258;184
tt0016276;184
tt0016288;184
tt0016294;184
tt0016308;184
tt0016309;184
tt0016310;184
tt0016332;184
tt0016338;64
tt0016338;180
tt0016377;184
tt0016392;11
tt0016394;184
tt0016395;184
tt0016461;184
tt0016473;184
tt0016480;184
tt0016481;64
tt0016491;60
tt0016491;169
tt0016493;60
tt0016544;184
tt0016545;184
tt0016548;184
tt0016559;162
tt0016560;184
tt0016563;64
tt0016627;184
tt0016629;184
tt0016630;184
tt0016634;184
tt0016640;184
tt0016643;184
tt0016646;184
tt0016654;184
tt0016655;184
tt0016664;184
tt0016669;184
tt0016672;184
tt0016690;184
tt0016691;133
tt0016762;184
tt0016804;184
tt0016822;184
tt0016827;184
tt0016832;184
tt0016847;64
tt0016854;184
tt0016871;184
tt0016884;184
tt0016895;184
tt0016914;64
tt0016939;184
tt0016947;184
tt0016953;64
tt0016971;184
tt0017004;184
tt0017028;184
tt0017029;184
tt0017048;88
tt0017075;180
tt0017082;184
tt0017096;86
tt0017103;184
tt0017119;184
tt0017120;184
tt0017128;162
tt0017136;64
tt0017159;162
tt0017184;184
tt0017195;162
tt0017196;60
tt0017198;180
tt0017226;184
tt0017271;162
tt0017293;162
tt0017329;184
tt0017338;11
tt0017350;184
tt0017354;184
tt0017374;184
tt0017378;162
tt0017382;184
tt0017409;184
tt0017410;184
tt0017416;184
tt0017419;184
tt0017423;184
tt0017437;184
tt0017438;64
tt0017448;64
tt0017449;184
tt0017463;184
tt0017480;184
tt0017483;184
tt0017519;184
tt0017534;184
tt0017540;184
tt0017567;184
tt0017619;184
tt0017621;64
tt0017632;184
tt0017653;162
tt0017662;184
tt0017667;184
tt0017726;11
tt0017735;184
tt0017736;60
tt0017736;64
tt0017739;184
tt0017750;184
tt0017751;184
tt0017765;184
tt0017809;162
tt0017825;180
tt0017832;184
tt0017843;180
tt0017860;184
tt0017886;184
tt0017918;184
tt0017925;184
tt0017928;184
tt0017938;60
tt0017961;162
