movie_id;language_id
tt0000009;168
tt0000417;72
tt0000417;64
tt0000574;168
tt0001892;168
tt0002101;168
tt0002101;64
tt0002130;168
tt0002130;105
tt0002199;168
tt0002199;64
tt0002423;168
tt0002423;78
tt0002445;168
tt0002445;105
tt0002452;168
tt0002452;195
tt0002461;168
tt0002461;64
tt0002646;168
tt0002646;55
tt0002844;168
tt0002844;72
tt0003014;168
tt0003037;168
tt0003037;72
tt0003102;168
tt0003102;105
tt0003131;168
tt0003131;72
tt0003165;168
tt0003165;72
tt0003167;168
tt0003167;64
tt0003419;78
tt0003419;64
tt0003471;168
tt0003471;64
tt0003489;168
tt0003489;105
tt0003637;168
tt0003643;168
tt0003643;64
tt0003657;168
tt0003657;64
tt0003740;168
tt0003740;105
tt0003772;168
tt0003772;64
tt0003883;168
tt0003883;72
tt0003930;168
tt0003930;72
tt0003973;168
tt0003973;64
tt0004026;168
tt0004026;78
tt0004066;168
tt0004066;55
tt0004099;168
tt0004099;64
tt0004134;64
tt0004150;168
tt0004150;64
tt0004181;168
tt0004181;64
tt0004457;168
tt0004457;64
tt0004465;168
tt0004465;64
tt0004635;168
tt0004635;64
tt0004681;168
tt0004681;64
tt0004707;168
tt0004707;64
tt0004712;168
tt0004712;98
tt0004743;168
tt0004766;168
tt0004766;64
tt0004825;168
tt0004825;64
tt0004838;168
tt0004838;64
tt0004872;168
tt0004872;64
tt0004873;168
tt0004873;64
tt0004972;168
tt0005060;168
tt0005060;64
tt0005078;168
tt0005078;64
tt0005149;168
tt0005149;64
tt0005339;168
tt0005339;64
tt0005402;168
tt0005402;64
tt0005529;168
tt0005557;64
tt0005680;168
tt0005680;105
tt0005719;168
tt0005719;64
tt0005809;168
tt0005809;64
tt0005916;168
tt0005916;198
tt0005951;168
tt0005960;168
tt0005960;64
tt0006206;168
tt0006206;72
tt0006206;64
tt0006327;168
tt0006327;64
tt0006333;168
tt0006333;64
tt0006509;168
tt0006509;64
tt0006517;168
tt0006517;64
tt0006589;168
tt0006589;64
tt0006617;168
tt0006688;168
tt0006688;64
tt0006731;168
tt0006731;64
tt0006736;168
tt0006736;64
tt0006745;168
tt0006745;64
tt0006753;64
tt0006780;168
tt0006780;64
tt0006809;168
tt0006809;64
tt0006826;168
tt0006826;64
tt0006864;168
tt0006864;64
tt0006886;168
tt0006886;72
tt0006886;131
tt0007047;168
tt0007047;64
tt0007183;168
tt0007183;198
tt0007257;168
tt0007257;64
tt0007260;168
tt0007260;64
tt0007309;168
tt0007309;78
tt0007338;168
tt0007338;64
tt0007340;168
tt0007340;64
tt0007361;168
tt0007361;64
tt0007367;168
tt0007367;64
tt0007522;168
tt0007558;168
tt0007558;64
tt0007610;168
tt0007610;64
tt0007755;168
tt0007755;64
tt0007801;168
tt0007801;64
tt0007983;168
tt0008011;168
tt0008100;168
tt0008150;168
tt0008150;64
tt0008188;168
tt0008188;64
tt0008196;168
tt0008196;64
tt0008279;168
tt0008309;168
tt0008309;64
tt0008395;168
tt0008443;168
tt0008443;64
tt0008489;168
tt0008489;64
tt0008499;168
tt0008499;64
tt0008519;168
tt0008536;168
tt0008634;168
tt0008634;64
tt0008652;168
tt0008663;168
tt0008672;168
tt0008679;168
tt0008687;168
tt0008687;64
tt0008710;168
tt0008775;168
tt0008775;64
tt0008827;168
tt0008827;64
tt0008843;168
tt0008854;168
tt0008854;78
tt0008879;168
tt0008891;168
tt0008891;64
tt0008930;168
tt0008930;64
tt0008950;168
tt0008950;78
tt0009014;168
tt0009014;72
tt0009062;168
tt0009062;78
tt0009086;168
tt0009086;64
tt0009150;168
tt0009150;64
tt0009153;168
tt0009241;168
tt0009241;64
tt0009326;168
tt0009326;64
tt0009356;168
tt0009356;64
tt0009369;168
tt0009369;64
tt0009440;168
tt0009440;64
tt0009475;168
tt0009475;64
tt0009559;168
tt0009559;64
tt0009608;168
tt0009608;64
tt0009611;168
tt0009611;64
tt0009652;168
tt0009682;168
tt0009701;168
tt0009701;72
tt0009737;168
tt0009737;64
tt0009796;168
tt0009796;64
tt0009878;168
tt0009878;64
tt0009878;78
tt0009892;168
tt0009893;168
tt0009893;78
tt0009894;168
tt0009894;226
tt0009900;168
tt0009915;168
tt0009915;64
tt0009937;168
tt0009937;64
tt0009968;168
tt0009976;168
tt0009976;64
tt0010040;168
tt0010040;64
tt0010060;168
tt0010060;64
tt0010071;168
tt0010103;168
tt0010103;64
tt0010137;168
tt0010137;64
tt0010162;168
tt0010162;64
tt0010193;168
tt0010193;64
tt0010195;168
tt0010195;64
tt0010208;168
tt0010208;58
tt0010219;168
tt0010219;64
tt0010227;168
tt0010227;64
tt0010247;168
tt0010247;230
tt0010267;168
tt0010267;64
tt0010281;168
tt0010281;78
tt0010298;168
tt0010307;168
tt0010307;72
tt0010323;168
tt0010323;78
tt0010418;168
tt0010418;64
tt0010456;168
tt0010456;78
tt0010466;168
tt0010466;64
tt0010484;168
tt0010559;168
tt0010598;168
tt0010600;168
tt0010635;168
tt0010635;64
tt0010662;168
tt0010662;64
tt0010680;168
tt0010680;64
tt0010726;168
tt0010755;168
tt0010806;168
tt0010806;64
tt0010821;168
tt0010844;168
tt0010844;64
tt0010853;168
tt0010879;168
tt0010879;64
tt0010890;168
tt0010890;64
tt0010925;168
tt0010925;64
tt0010953;168
tt0010962;168
tt0010962;78
tt0010964;168
tt0010964;64
tt0010969;168
tt0010969;72
tt0011000;168
tt0011130;168
tt0011130;64
tt0011157;168
tt0011157;230
tt0011173;168
tt0011193;168
tt0011193;64
tt0011217;168
tt0011217;78
tt0011221;168
tt0011221;78
tt0011237;168
tt0011267;168
tt0011267;64
tt0011294;168
tt0011294;72
tt0011302;168
tt0011302;72
tt0011317;168
tt0011344;168
tt0011344;64
tt0011358;168
tt0011358;64
tt0011369;168
tt0011370;168
tt0011371;168
tt0011371;78
tt0011387;168
tt0011387;64
tt0011414;168
tt0011415;168
tt0011415;64
tt0011439;168
tt0011440;168
tt0011474;168
tt0011474;64
tt0011513;168
tt0011588;168
tt0011588;64
tt0011607;168
tt0011607;230
tt0011607;55
tt0011623;64
tt0011641;168
tt0011641;78
tt0011647;168
tt0011647;64
tt0011652;168
tt0011679;168
tt0011716;168
tt0011723;168
tt0011741;168
tt0011741;64
tt0011742;168
tt0011742;78
tt0011753;168
tt0011753;64
tt0011779;168
tt0011779;64
tt0011833;168
tt0011833;78
tt0011837;168
tt0011841;168
tt0011865;168
tt0011865;64
tt0011870;168
tt0011904;168
tt0011908;168
tt0011908;64
tt0011909;168
tt0011948;168
tt0011948;64
tt0011960;168
tt0011979;168
tt0011979;64
tt0012016;168
tt0012016;64
tt0012027;168
tt0012027;64
tt0012068;168
tt0012122;0
tt0012125;168
tt0012125;64
tt0012134;168
tt0012134;72
tt0012136;168
tt0012136;64
tt0012187;168
tt0012190;168
tt0012249;168
tt0012249;78
tt0012281;168
tt0012281;78
tt0012313;168
tt0012313;78
tt0012314;168
tt0012314;78
tt0012334;168
tt0012349;168
tt0012349;64
tt0012364;168
tt0012364;230
tt0012382;168
tt0012382;64
tt0012397;168
tt0012397;64
tt0012408;168
tt0012408;64
tt0012465;168
tt0012486;168
tt0012486;64
tt0012494;168
tt0012494;78
tt0012513;168
tt0012513;64
tt0012532;168
tt0012532;64
tt0012538;168
tt0012538;64
tt0012631;168
tt0012631;106
tt0012642;168
tt0012642;64
tt0012645;168
tt0012650;168
tt0012650;78
tt0012651;168
tt0012651;78
tt0012675;168
tt0012675;64
tt0012699;168
tt0012745;168
tt0012745;72
tt0012752;168
tt0012752;64
tt0012755;168
tt0012755;64
tt0012763;168
tt0012769;168
tt0012769;64
tt0012806;168
tt0012806;78
tt0012928;168
tt0012928;64
tt0012938;168
tt0012952;168
tt0012973;168
tt0012975;168
tt0012975;64
tt0013033;168
tt0013033;72
tt0013059;168
tt0013075;168
tt0013075;64
tt0013085;168
tt0013122;168
tt0013122;72
tt0013134;168
tt0013140;168
tt0013140;64
tt0013140;131
tt0013140;72
tt0013169;168
tt0013169;78
tt0013201;168
tt0013201;64
tt0013223;168
tt0013223;64
tt0013332;168
tt0013367;168
tt0013367;64
tt0013372;168
tt0013386;168
tt0013386;64
tt0013402;168
tt0013404;168
tt0013428;168
tt0013428;78
tt0013442;168
tt0013442;78
tt0013450;168
tt0013450;64
tt0013469;168
tt0013469;78
tt0013496;168
tt0013496;78
tt0013515;168
tt0013556;168
tt0013556;64
tt0013571;168
tt0013574;168
tt0013579;168
tt0013579;78
tt0013590;168
tt0013592;168
tt0013592;64
tt0013597;168
tt0013597;64
tt0013607;168
tt0013607;64
tt0013619;168
tt0013662;168
tt0013662;64
tt0013674;168
tt0013674;64
tt0013688;168
tt0013704;168
tt0013704;64
tt0013705;168
tt0013705;64
tt0013741;168
tt0013741;78
tt0013750;168
tt0013750;64
tt0013802;168
tt0013830;168
tt0013830;78
tt0013909;168
tt0013909;64
tt0013933;168
tt0013933;72
tt0013951;168
tt0013951;64
tt0014029;168
tt0014029;64
tt0014108;168
tt0014109;168
tt0014112;168
tt0014112;64
tt0014142;168
tt0014205;168
tt0014205;64
tt0014341;168
tt0014341;64
tt0014358;168
tt0014358;64
tt0014397;168
tt0014416;64
tt0014417;168
tt0014417;72
tt0014417;64
tt0014429;168
tt0014429;64
tt0014440;168
tt0014440;64
tt0014440;72
tt0014446;168
tt0014446;78
tt0014463;168
tt0014463;64
tt0014497;168
tt0014497;64
tt0014516;168
tt0014516;78
tt0014524;168
tt0014524;78
tt0014532;168
tt0014532;64
tt0014538;168
tt0014586;168
tt0014586;78
tt0014604;168
tt0014604;64
tt0014605;168
tt0014605;64
tt0014606;168
tt0014606;64
tt0014611;168
tt0014611;64
tt0014624;168
tt0014624;64
tt0014636;168
tt0014636;64
tt0014646;168
tt0014646;198
tt0014672;168
tt0014702;168
tt0014721;168
tt0014721;64
tt0014760;168
tt0014760;64
tt0014770;168
tt0014826;168
tt0014826;64
tt0014854;168
tt0014854;64
tt0014869;168
tt0014869;64
tt0014874;168
tt0014874;64
tt0014898;168
tt0014898;72
tt0014900;168
tt0014900;78
tt0014925;168
tt0014945;168
tt0014945;64
tt0014972;168
tt0014972;64
tt0014982;168
tt0015002;168
tt0015002;64
tt0015014;168
tt0015014;72
tt0015016;168
tt0015016;64
tt0015018;168
tt0015018;64
tt0015022;168
tt0015022;64
tt0015036;168
tt0015064;168
tt0015116;168
tt0015116;64
tt0015119;168
tt0015136;168
tt0015145;168
tt0015145;64
tt0015163;168
tt0015167;168
tt0015174;168
tt0015175;168
tt0015175;78
tt0015200;168
tt0015200;64
tt0015202;168
tt0015213;168
tt0015213;198
tt0015214;168
tt0015214;72
tt0015224;168
tt0015268;168
tt0015289;168
tt0015310;168
tt0015310;64
tt0015312;168
tt0015312;64
tt0015324;168
tt0015324;64
tt0015361;168
tt0015400;168
tt0015493;168
tt0015493;64
tt0015498;168
tt0015498;64
tt0015500;168
tt0015500;64
tt0015518;168
tt0015518;64
tt0015532;168
tt0015624;168
tt0015634;168
tt0015634;64
tt0015643;168
tt0015643;64
tt0015648;168
