actor_id;name
nm0000236;Jennifer Tilly
nm0000237;John Travolta
nm0000238;Shannon Tweed
nm0000239;Liv Tyler
nm0000240;Skeet Ulrich
nm0000241;Jean-Claude Van Damme
nm0000242;Mark Wahlberg
nm0000243;Denzel Washington
nm0000244;Sigourney Weaver
nm0000245;Robin Williams
nm0000246;Bruce Willis
nm0000247;John Woo
nm0000248;Edward D. Wood Jr.
nm0000249;James Woods
nm0000250;Renée Zellweger
nm0000251;Timothy Dowling
nm0000252;Robert Ellis
nm0000254;Isabelle Adjani
nm0000255;Ben Affleck
nm0000256;Jenny Agutter
nm0000257;Alan Alda
nm0000258;Stephanie Zimbalist
nm0000259;Ginger Lynn
nm0000260;Joan Allen
nm0000261;Karen Allen
nm0000262;Nancy Allen
nm0000263;Kirstie Alley
nm0000264;Pedro Almodóvar
nm0000266;Ursula Andress
nm0000267;Julie Andrews
nm0000268;Ann-Margret
nm0000270;Gabrielle Anwar
nm0000271;Anne Archer
nm0000272;Fanny Ardant
nm0000273;Alan Arkin
nm0000274;David Arquette
nm0000275;Rosanna Arquette
nm0000276;Sean Astin
nm0000277;Richard Attenborough
nm0000278;Pernilla August
nm0000279;Hank Azaria
nm0000280;Catherine Bach
nm0000281;Scott Baio
nm0000282;Scott Bairstow
nm0000283;Brenda Bakke
nm0000284;Adam Baldwin
nm0000285;Alec Baldwin
nm0000286;Stephen Baldwin
nm0000287;William Baldwin
nm0000288;Christian Bale
nm0000289;Ellen Barkin
nm0000290;John Barry
nm0000291;Angela Bassett
nm0000292;Michelle Bauer
nm0000293;Sean Bean
nm0000294;Amanda Bearse
nm0000295;Kate Beckinsale
nm0000296;Robert Beltran
nm0000297;Tom Berenger
nm0000298;Candice Bergen
nm0000299;Michael Biehn
nm0000300;Juliette Binoche
nm0000301;Thora Birch
nm0000302;Jacqueline Bisset
nm0000303;Honor Blackman
nm0000304;Linda Blair
nm0000305;Mel Blanc
nm0000306;Brian Blessed
nm0000307;Helena Bonham Carter
nm0000308;Ernest Borgnine
nm0000309;David Bowie
nm0000310;Bruce Boxleitner
nm0000311;Annie Rosar
nm0000312;Amy Brenneman
nm0000313;Jeff Bridges
nm0000314;Charles Bronson
nm0000315;Louise Brooks
nm0000316;Mel Brooks
nm0000317;Clancy Brown
nm0000319;Yancy Butler
nm0000320;Luis Buñuel
nm0000321;Gabriel Byrne
nm0000322;Emmanuelle Béart
nm0000323;Michael Caine
nm0000324;Barbara Carrera
nm0000325;David Caruso
nm0000326;Kim Cattrall
nm0000327;Lacey Chabert
nm0000328;Richard Chamberlain
nm0000329;Jackie Chan
nm0000330;Stockard Channing
nm0000331;Chevy Chase
nm0000332;Don Cheadle
nm0000333;Cher
nm0000334;Chow Yun-Fat
nm0000335;Glenn Close
nm0000336;James Coburn
nm0000337;Rachael Leigh Cook
nm0000339;Roger Corman
nm0000340;Cindy Crawford
nm0000342;James Cromwell
nm0000343;David Cronenberg
nm0000344;Denise Crosby
nm0000345;Billy Crystal
nm0000346;Macaulay Culkin
nm0000347;Tim Curry
nm0000348;Tony Curtis
nm0000349;Joan Cusack
nm0000350;Beverly D'Angelo
nm0000351;Donna D'Errico
nm0000352;Vincent D'Onofrio
nm0000353;Willem Dafoe
nm0000354;Matt Damon
nm0000355;Anthony Daniels
nm0000356;Sybil Danning
nm0000357;Lolita Davidovich
nm0000358;Daniel Day-Lewis
nm0000359;Olivier De Funès
nm0000360;Rebecca De Mornay
nm0000361;Brian De Palma
nm0000362;Danny DeVito
nm0000363;Loren Dean
nm0000364;Sandra Dee
nm0000365;Julie Delpy
nm0000366;Catherine Deneuve
nm0000367;Gérard Depardieu
nm0000368;Laura Dern
nm0000369;Matt Dillon
nm0000370;Walt Disney
nm0000371;Ami Dolenz
nm0000372;Amanda Donohoe
nm0000373;Michael Dorn
nm0000374;Brad Dourif
nm0000375;Robert Downey Jr.
nm0000376;Fran Drescher
nm0000377;Richard Dreyfuss
nm0000378;Minnie Driver
nm0000379;Kirsten Dunst
nm0000380;Robert Duvall
nm0000381;Anthony Edwards
nm0000382;Atom Egoyan
nm0000383;Jennifer Ehle
nm0000384;Danny Elfman
nm0000385;Sam Elliott
nm0000387;Robert Englund
nm0000388;R. Lee Ermey
nm0000389;Emilio Estevez
nm0000391;Rupert Everett
nm0000392;Morgan Fairchild
nm0000393;Peter Falk
nm0000394;Chris Farley
nm0000395;Terry Farrell
nm0000396;Farrah Fawcett
nm0000397;Corey Feldman
nm0000398;Sally Field
nm0000399;David Fincher
nm0000400;Linda Fiorentino
nm0000401;Laurence Fishburne
nm0000402;Carrie Fisher
nm0000403;Bridget Fonda
nm0000404;Jane Fonda
nm0000405;Michelle Forbes
nm0000407;Vivica A. Fox
nm0000408;Jonathan Frakes
nm0000409;Brendan Fraser
nm0000410;Stephen Fry
nm0000411;Edward Furlong
nm0000412;Andy Garcia
nm0000413;Janeane Garofalo
nm0000414;Teri Garr
nm0000415;Jami Gertz
nm0000416;Terry Gilliam
nm0000417;Crispin Glover
nm0000418;Danny Glover
nm0000419;Jean-Luc Godard
nm0000420;Valeria Golino
nm0000421;Cuba Gooding Jr.
nm0000422;John Goodman
nm0000423;Serena Grandi
nm0000424;Hugh Grant
nm0000426;Jennifer Grey
nm0000427;Pam Grier
nm0000429;Melanie Griffith
nm0000430;Steve Guttenberg
nm0000432;Gene Hackman
nm0000433;Corey Haim
nm0000434;Mark Hamill
nm0000435;Daryl Hannah
nm0000436;Curtis Hanson
nm0000437;Woody Harrelson
nm0000438;Ed Harris
nm0000439;Neil Patrick Harris
nm0000440;Nina Hartley
nm0000441;Noah Hathaway
nm0000442;Rutger Hauer
nm0000443;Goldie Hawn
nm0000444;Glenne Headly
nm0000445;Dan Hedaya
nm0000446;Mariel Hemingway
nm0000447;Marilu Henner
nm0000448;Lance Henriksen
nm0000449;Natasha Henstridge
nm0000450;Philip Seymour Hoffman
nm0000451;Gaby Hoffmann
nm0000452;Lauren Holly
nm0000453;Ian Holm
nm0000454;Dennis Hopper
nm0000456;Holly Hunter
nm0000457;John Hurt
nm0000458;William Hurt
nm0000459;Timothy Hutton
nm0000460;Jeremy Irons
nm0000461;Michael Ironside
nm0000462;Kate Jackson
nm0000463;Famke Janssen
nm0000464;Jim Jarmusch
nm0000465;Ron Jeremy
nm0000467;Don Johnson
nm0000468;Lynn-Holly Johnson
nm0000469;James Earl Jones
nm0000470;Jeffrey Jones
nm0000471;Raul Julia
nm0000472;Boris Karloff
nm0000473;Diane Keaton
nm0000474;Michael Keaton
nm0000475;Patsy Kensit
nm0000476;Sally Kirkland
nm0000477;Mia Kirshner
nm0000478;Tawny Kitaen
nm0000479;Walter Koenig
nm0000480;Elias Koteas
nm0000481;Alice Krige
nm0000482;Sylvia Kristel
nm0000483;Christopher Lambert
nm0000484;John Landis
nm0000485;Fritz Lang
nm0000486;Heather Langenkamp
nm0000488;Brandon Lee
nm0000489;Christopher Lee
nm0000490;Spike Lee
nm0000491;John Leguizamo
nm0000492;Jennifer Jason Leigh
nm0000493;Jack Lemmon
nm0000494;Robert Sean Leonard
nm0000495;Téa Leoni
nm0000496;Juliette Lewis
nm0000497;Jennifer Lien
nm0000498;Matthew Lillard
nm0000499;Bai Ling
nm0000500;Richard Linklater
nm0000501;Ray Liotta
nm0000502;Christopher Lloyd
nm0000503;Emily Lloyd
nm0000504;Amy Locane
nm0000505;Nia Long
nm0000506;Julia Louis-Dreyfus
nm0000507;Rob Lowe
nm0000508;Carey Lowell
nm0000509;Bela Lugosi
nm0000510;Andie MacDowell
nm0000511;Shirley MacLaine
nm0000512;Elle Macpherson
nm0000513;William H. Macy
nm0000514;Michael Madsen
nm0000515;Virginia Madsen
nm0000516;Lee Majors
nm0000518;John Malkovich
nm0000519;David Mamet
nm0000520;Michael Mann
nm0000521;Sophie Marceau
nm0000522;Vanessa Marcil
nm0000523;Julianna Margulies
nm0000524;Mary Stuart Masterson
nm0000525;Heather Matarazzo
nm0000526;Samantha Mathis
nm0000527;Walter Matthau
nm0000528;Mathilda May
nm0000529;Debi Mazar
nm0000530;Andrew McCarthy
nm0000531;Frances McDormand
nm0000532;Malcolm McDowell
nm0000533;Gates McFadden
nm0000534;Kelly McGillis
nm0000535;Rose McGowan
nm0000536;Robert Duncan McNeill
nm0000537;Steve McQueen
nm0000538;Colm Meaney
nm0000539;Dina Meyer
nm0000540;Russ Meyer
nm0000541;Bette Midler
nm0000542;Penelope Ann Miller
nm0000543;Sal Mineo
nm0000544;Carmen Miranda
nm0000545;Helen Mirren
nm0000546;Matthew Modine
nm0000547;Alfred Molina
nm0000548;Elizabeth Montgomery
nm0000549;Roger Moore
nm0000550;Kate Mulgrew
nm0000551;Dermot Mulroney
nm0000552;Eddie Murphy
nm0000553;Liam Neeson
nm0000554;Sam Neill
nm0000555;Judd Nelson
nm0000556;Olivia Newton-John
nm0000557;Brigitte Nielsen
nm0000558;Leslie Nielsen
nm0000559;Leonard Nimoy
nm0000560;Nick Nolte
nm0000562;Jeremy Northam
nm0000563;Chris O'Donnell
nm0000564;Peter O'Toole
nm0000565;Lena Olin
nm0000566;Julia Ormond
nm0000568;Frank Oz
nm0000569;Gwyneth Paltrow
nm0000571;Mary-Louise Parker
nm0000572;Sarah Jessica Parker
nm0000573;Dolly Parton
nm0000574;Jason Patric
nm0000575;Alexandra Paul
nm0000576;Sean Penn
nm0000577;George Peppard
nm0000578;Anthony Perkins
nm0000579;Ron Perlman
nm0000580;Luke Perry
nm0000581;Joseph L. Mankiewicz
nm0000582;Joe Pesci
nm0000584;Amanda Peterson
nm0000585;Robert Picardo
nm0000586;Jada Pinkett Smith
nm0000587;Donald Pleasence
nm0000588;Martha Plimpton
nm0000589;Eve Plumb
nm0000591;Roman Polanski
nm0000592;Pete Postlethwaite
nm0000593;Kelly Preston
nm0000594;Jason Priestley
nm0000595;Victoria Principal
nm0000596;Jonathan Pryce
nm0000597;Bill Pullman
nm0000598;Dennis Quaid
nm0000599;Kathleen Quinlan
nm0000600;Sam Raimi
nm0000601;Harold Ramis
nm0000602;Robert Redford
nm0000603;Vanessa Redgrave
nm0000604;John C. Reilly
nm0000605;Brad Renfro
nm0000606;Jean Reno
nm0000607;Paul Reubens
nm0000608;Burt Reynolds
nm0000609;Ving Rhames
nm0000610;Giovanni Ribisi
nm0000611;Ariana Richards
nm0000612;Denise Richards
nm0000613;Joely Richardson
nm0000614;Alan Rickman
nm0000615;John Ritter
nm0000616;Eric Roberts
nm0000617;Tanya Roberts
nm0000618;Isabella Rossellini
nm0000619;Tim Roth
nm0000620;Mickey Rourke
nm0000621;Kurt Russell
nm0000622;Theresa Russell
nm0000623;Rene Russo
nm0000624;Laura San Giacomo
nm0000625;Fred Savage
nm0000626;John Sayles
nm0000627;Greta Scacchi
nm0000628;Johnathon Schaech
nm0000629;Claudia Schiffer
nm0000630;Liev Schreiber
nm0000632;Jerry Seinfeld
nm0000633;Tom Selleck
nm0000634;Peter Sellers
nm0000635;Yahoo Serious
nm0000637;Tupac Shakur
nm0000638;William Shatner
nm0000639;Ally Sheedy
nm0000640;Martin Sheen
nm0000641;Gary Sinise
nm0000642;Marina Sirtis
nm0000643;Tom Skerritt
nm0000644;Helen Slater
nm0000645;Anna Nicole Smith
nm0000646;Jaclyn Smith
nm0000647;Alan Smithee
nm0000648;Wesley Snipes
nm0000649;Paul Sorvino
nm0000650;Talisa Soto
nm0000651;Sissy Spacek
nm0000652;James Spader
nm0000653;Brent Spiner
nm0000654;Terence Stamp
nm0000655;Eric Stoltz
nm0000656;Madeleine Stowe
nm0000657;David Strathairn
nm0000658;Meryl Streep
nm0000659;Barbra Streisand
nm0000660;Tami Stronach
nm0000661;Donald Sutherland
nm0000662;Kiefer Sutherland
nm0000663;Dominique Swain
nm0000664;Patrick Swayze
nm0000665;D.B. Sweeney
nm0000666;Lili Taylor
nm0000667;David Thewlis
nm0000668;Emma Thompson
nm0000669;Fred Thompson
nm0000670;Lea Thompson
nm0000671;Billy Bob Thornton
nm0000672;Meg Tilly
nm0000673;Marisa Tomei
nm0000674;Tamlyn Tomita
nm0000675;Jeanne Tripplehorn
nm0000676;Chris Tucker
nm0000677;Robin Tunney
nm0000678;Kathleen Turner
nm0000679;Deborah Kara Unger
nm0000680;Casper Van Dien
nm0000681;Vince Vaughn
nm0000682;Paul Verhoeven
nm0000683;Gore Vidal
nm0000684;Nana Visitor
nm0000685;Jon Voight
nm0000686;Christopher Walken
nm0000687;J.T. Walsh
nm0000688;Sela Ward
nm0000689;Julie Warner
nm0000690;Lesley Ann Warren
nm0000691;John Waters
nm0000692;Teri Weigel
nm0000693;Peter Weller
nm0000694;Wim Wenders
nm0000695;Joanne Whalley
nm0000696;Wil Wheaton
nm0000698;Gene Wilder
nm0000699;Michael Wincott
nm0000700;Debra Winger
nm0000701;Kate Winslet
nm0000702;Reese Witherspoon
nm0000703;BD Wong
nm0000704;Elijah Wood
nm0000705;Robin Wright
nm0000706;Michelle Yeoh
nm0000707;Sean Young
nm0000708;Billy Zane
nm0000711;Rick Baker
nm0000714;Willie Aames
nm0000715;Caroline Aaron
nm0000716;Paula Abdul
nm0000717;Kareem Abdul-Jabbar
nm0000718;Ian Abercrombie
