movie_id;director_id
tt0011904;nm0941637
tt0011908;nm0384616
tt0011908;nm0796657
tt0011909;nm0001124
tt0011948;nm0511729
tt0011960;nm0523932
tt0011979;nm0916665
tt0012016;nm0048478
tt0012027;nm0806605
tt0012068;nm0002271
tt0012122;nm0000428
tt0012125;nm0132720
tt0012134;nm0478303
tt0012136;nm0897085
tt0012187;nm0001124
tt0012190;nm0002271
tt0012249;nm0300544
tt0012249;nm0769942
tt0012281;nm0422226
tt0012281;nm0501902
tt0012313;nm0562004
tt0012314;nm0562004
tt0012334;nm0830249
tt0012349;nm0000122
tt0012364;nm0803705
tt0012382;nm0000779
tt0012382;nm0190516
tt0012397;nm0337586
tt0012397;nm0681927
tt0012408;nm0547966
tt0012465;nm0210352
tt0012486;nm0042317
tt0012486;nm0373511
tt0012494;nm0000485
tt0012513;nm0715716
tt0012532;nm0000428
tt0012538;nm0115218
tt0012631;nm0613600
tt0012642;nm0628345
tt0012645;nm0118266
tt0012650;nm0681726
tt0012651;nm0003638
tt0012675;nm0577654
tt0012699;nm0896542
tt0012745;nm0031134
tt0012752;nm0629243
tt0012755;nm0337586
tt0012755;nm0681927
tt0012763;nm0454771
tt0012769;nm0916665
tt0012806;nm0000485
tt0012928;nm0897085
tt0012938;nm0939992
tt0012952;nm0002188
tt0012952;nm0629243
tt0012973;nm0003638
tt0012975;nm0856161
tt0013033;nm0275494
tt0013059;nm0003433
tt0013075;nm0628345
tt0013075;nm0853130
tt0013085;nm0166730
tt0013122;nm0217526
tt0013134;nm0191899
tt0013140;nm0002233
tt0013169;nm0003433
tt0013201;nm0628345
tt0013223;nm0893418
tt0013332;nm0869665
tt0013367;nm0454535
tt0013372;nm0001124
tt0013386;nm0002233
tt0013386;nm0432216
tt0013402;nm0283444
tt0013404;nm0577654
tt0013428;nm0633394
tt0013442;nm0003638
tt0013450;nm0515979
tt0013469;nm0118266
tt0013496;nm0003638
tt0013515;nm0002271
tt0013556;nm0245385
tt0013571;nm0117065
tt0013571;nm0623417
tt0013574;nm0001124
tt0013579;nm0733208
tt0013590;nm0454771
tt0013592;nm0286379
tt0013597;nm0662032
tt0013607;nm0721840
tt0013619;nm0002031
tt0013662;nm0731910
tt0013674;nm0511729
tt0013688;nm0291387
tt0013704;nm0861336
tt0013705;nm0662840
tt0013741;nm0523932
tt0013750;nm0897085
tt0013802;nm0005847
tt0013830;nm0243295
tt0013909;nm0000406
tt0013933;nm0258477
tt0013951;nm0190516
tt0014029;nm0428059
tt0014108;nm0830249
tt0014109;nm0830249
tt0014112;nm0396378
tt0014142;nm0941637
tt0014205;nm0646058
tt0014341;nm0000036
tt0014341;nm0090007
tt0014358;nm0000122
tt0014397;nm0927468
tt0014416;nm0523932
tt0014416;nm0909825
tt0014417;nm0304098
tt0014429;nm0628345
tt0014429;nm0853130
tt0014440;nm0002271
tt0014446;nm0655065
tt0014463;nm0385171
tt0014497;nm0400912
tt0014516;nm0344583
tt0014524;nm0681726
tt0014532;nm0001124
tt0014538;nm0000036
tt0014538;nm0166836
tt0014586;nm0083532
tt0014586;nm0501902
tt0014604;nm0000428
tt0014605;nm0454771
tt0014606;nm0115218
tt0014611;nm0628345
tt0014611;nm0853130
tt0014624;nm0000122
tt0014636;nm0245385
tt0014646;nm0698839
tt0014672;nm0000428
tt0014702;nm0064600
tt0014721;nm0515979
tt0014760;nm0166836
tt0014770;nm0600580
tt0014826;nm0653253
tt0014854;nm0624714
tt0014854;nm0681933
tt0014869;nm0731910
tt0014874;nm0782682
tt0014898;nm0719756
tt0014900;nm0003638
tt0014925;nm0523932
tt0014945;nm0628345
tt0014945;nm0853130
tt0014972;nm0803705
tt0014982;nm0291548
tt0015002;nm0628345
tt0015002;nm0853130
tt0015014;nm0478303
tt0015016;nm0000406
tt0015018;nm0000428
tt0015022;nm0394399
tt0015036;nm0901502
tt0015064;nm0003638
tt0015116;nm0245385
tt0015119;nm0523932
tt0015136;nm0003433
tt0015145;nm0646058
tt0015163;nm0000036
tt0015163;nm0187981
tt0015167;nm0474487
tt0015174;nm0000485
tt0015175;nm0000485
tt0015200;nm0075960
tt0015202;nm0927468
tt0015213;nm0770703
tt0015214;nm0163229
tt0015224;nm0107543
tt0015268;nm0629243
tt0015289;nm0454771
tt0015310;nm0515979
tt0015312;nm0097648
tt0015324;nm0000036
tt0015361;nm0001178
tt0015400;nm0909825
tt0015493;nm0194031
tt0015498;nm0896542
tt0015500;nm0896542
tt0015518;nm0897085
tt0015532;nm0002569
tt0015532;nm0718201
tt0015624;nm0384276
tt0015624;nm0896542
tt0015634;nm0584778
tt0015643;nm0002118
tt0015648;nm0001178
tt0015684;nm0097648
tt0015687;nm0809467
tt0015693;nm0376221
tt0015758;nm0187981
tt0015768;nm0003433
tt0015772;nm0113284
tt0015794;nm0163229
tt0015801;nm0478303
tt0015841;nm0628345
tt0015841;nm0853130
tt0015842;nm0655065
tt0015847;nm0003226
tt0015861;nm0003433
tt0015863;nm0000036
tt0015864;nm0000122
tt0015872;nm0113284
tt0015881;nm0002233
tt0015883;nm0275494
tt0015909;nm0291548
tt0015935;nm0797205
tt0016004;nm0523932
