movie_id;country_id
tt38123566;79
tt37537155;79
tt39216314;184
tt27722575;10
tt27722575;64
tt27722575;163
tt27722575;114
tt35659725;60
tt30959077;76
tt30959077;60
tt30959077;17
tt30959077;64
tt35890599;60
tt35890599;17
tt36580119;82
tt36580119;145
tt36580119;184
tt31050594;149
tt31050594;184
tt28865633;59
tt31557492;73
tt31557492;60
tt33455099;184
tt33455099;180
tt29567915;184
tt29567915;77
tt36599377;60
tt36599377;51
tt33029380;60
tt33029380;17
tt31777964;60
tt31777964;17
tt29612071;31
tt33311007;177
tt33311007;60
tt33311007;145
tt33616511;60
tt33616511;36
tt34886821;86
tt32558601;60
tt35932382;60
tt22868010;60
tt22868010;184
tt22868010;180
tt22868010;64
tt22868010;154
tt22868010;88
tt37660587;60
tt32263650;83
tt32263650;180
tt31710990;184
tt31710990;114
tt14142060;88
tt14142060;184
