movie_id;genre_id
tt35404853;6
tt35404853;9
tt33549447;9
tt4357198;6
tt4357198;9
tt4357198;24
tt31728330;1
tt31728330;6
tt31728330;14
tt6930962;4
tt38649153;4
tt38649153;6
tt38649153;21
tt13597298;9
tt35695538;9
tt31325397;7
tt31325397;24
tt26446095;4
tt26446095;11
tt26446095;15
tt17499010;9
tt11611166;9
tt35889287;9
tt26733325;9
tt32244884;9
tt34812090;4
tt34812090;1
tt34812090;3
tt21257788;8
tt32279108;8
tt15574270;9
tt15574270;14
tt15574270;17
tt15940132;1
tt15940132;21
tt15940132;24
tt33071426;6
tt33071426;9
tt33071426;20
tt28650488;4
tt28650488;3
tt28650488;6
tt39814688;9
tt31514146;5
tt31514146;9
tt39314864;6
tt32888226;9
tt27811632;5
tt27811632;9
tt27811632;13
tt23644354;24
tt32639175;14
tt35439895;8
tt35439895;9
