director_id;name
nm9068006;Ronan Day-Lewis
nm3621304;John Patton Ford
nm0457562;Masaki Kitamura
nm10297521;Cato Kusters
nm2663522;Akinola Davies
nm1905068;Kid Koala
nm3391699;Bérangère McNeese
nm16104705;Juanjo Pereira
nm5313125;Jane Schoenbrun
nm2531678;Brandon Kramer
