"imdb_id","french_title","original_title","year","duration","rating","num_rate","budget","synopsis","movie_id","genre_id","genre_id-2","name","movie_id-2","country_id","country_id-2","country"
"tt0089366","Je vous salue, Marie","Je vous salue, Marie",1985,72,"6.6",3064,NULL,"In this modern retelling of the Virgin birth, Mary is a student who plays basketball and works at her father's petrol station; Joseph is an earnest dropout who drives a cab. The angel Gabriel must school Joseph to accept Mary's pregnancy, while Mary comes to terms with God's plan through meditations that are sometimes angry and usually punctuated by elemental images of the sun, moon, clouds, flowers, and water. Godard intercuts a brief parallel story of Eva and her nameless lover; their adulterous affair, rife with philosophical discussions, leads nowhere.","tt0089366",9,9,"Drama","tt0089366",60,60,"France"
"tt0089567","Le matou","Le matou",1985,141,"6.4",291,NULL,"Florent Boissonneault and his young wife Elise always had one dream: own a restaurant. When they meet a strange old man, Egon Ratablavasky, their dream become reality, but only to quick turn into a nightmare when they sadly discover they had been tricked by him, and lost everything. But their dream is not dead, and a strong desire of avenging soon bring them back in business, with the help of an homeless kid, a french cook and a friendly journalist. But the old man still had trick on for them his bag...","tt0089567",9,9,"Drama","tt0089567",60,60,"France"
"tt0089677","Le neveu de Beethoven","Le neveu de Beethoven",1985,103,"5.7",125,NULL,"In an effort to provide a secure future for his nephew Karl, Beethoven is fighting his sister-in-law over the custody for the boy. The mother doesn't consider the ageing and irate composer a suitable guardian for her son, and Karl himself shows not much interest in his uncle either.","tt0089677",9,9,"Drama","tt0089677",60,60,"France"
"tt0089707","Novembermond","Novembermond",1985,108,"5.8",186,NULL,"November Moon is the story of two women in nazi-occupied France. November Messing is jewish, and from Germany. She has come to France to escape the Reich. Férial is french, and soon after meeting each other, the two women fall in love. Unfortunately, November's safety in France is short-lived. Not long after meeting Férial, the germans invade, and she must go into hiding in southern France. Discovered, she must escape brutal torture by the germans to make her way to Férial in Paris, and together the two of them (along with Férial's mother) must use all their ingenuity to stay alive.","tt0089707",9,9,"Drama","tt0089707",60,60,"France"
"tt0089726","On ne meurt que deux fois","On ne meurt que deux fois",1985,105,"6.1",573,NULL,"The inspector Staniland as always try to put himself in the place of the victim, this time an unsuccessful pianist. That's when the victim's mistress Barbara entered the appartment, look like a real bitch that one think the inspector. Surprised by his presence, she accuse herself of the crime. But the inspector is not convinced because everything don't fit all well in her confession and specially the tone she use to do so. In his investigation, Staniland has fisted trouble with a man who's protecting Barbara. Supposed to be her brother, isn't he? And can you refused a girl like her even if you're a policeman.","tt0089726",9,9,"Drama","tt0089726",60,60,"France"
"tt0089739","Oriane","Oriana",1985,88,"6.7",391,NULL,"Maria learns that her aunt Oriana has died and willed her a crumbling and remote Venezuelan hacienda where Maria spent a short time as a girl just entering puberty. Maria goes to the hacienda to prepare the place for sale; while going through her aunt's papers, she recalls her visit years' before. In flashbacks, we see the young Maria trying to sort out why Oriana never leaves the hacienda, what secret may be in Oriana's past, and who the mysterious Sergio was. The young Maria, as she learns things, imagines her aunt's youth, cruel father, and first love. After these reveries within reveries, Maria, now a grown woman, makes one more discovery.","tt0089739",9,9,"Drama","tt0089739",60,60,"France"
"tt0089775","Parking","Parking",1985,95,"4.8",220,NULL,"This film is an update of Jean Cocteau's Orpheus, set in the world of 1980s rock.","tt0089775",9,9,"Drama","tt0089775",60,60,"France"
"tt0089776","Parole de flic","Parole de flic",1985,96,"5.7",1053,NULL,"Retired police officer Daniel Pratt's teenage daughter is killed by a gang of hooded men. Pratt begins his own investigation to find the killers and who ordered them to do it - and take personal revenge out of the judicial system.","tt0089776",9,9,"Drama","tt0089776",60,60,"France"
"tt0089821","Police","Police",1985,113,"6.6",2326,"4500000","Mangin, a police inspector in Paris, leans hard on informants to get evidence on three Tunisian brothers who traffic in drugs. He arrests one, Simon, and his girl-friend Noria. Simon's brothers go to their lawyer. He springs Noria, who promptly steals 2 million francs that belong to the Tunisians. They suspect her of the theft; her life as well as the lawyer's is in danger. Meanwhile, Noria is playing with both the lawyer and Mangin's affections. Mangin is mercurial anyway: intimidating and bloodying suspects, falling for a police commission trainee before flipping for Noria, wearing his emotions on his sleeve. Can he save the lawyer and Noria, and can he convince her to love?","tt0089821",9,9,"Drama","tt0089821",60,60,"France"
"tt0089860","Péril en la demeure","Péril en la demeure",1985,101,"7",1310,NULL,"A magnate and his younger wife hire David to teach guitar to their teenage daughter. The wife quickly seduces David, and simultaneously he strikes up an acquaintance with the family's inquisitive neighbor. One night, David is mugged but rescued from injury by a stranger, Daniel, who also becomes David's friend and admits to being a hit man. Video tapes of their activities appear in the lovers' mail; David thinks they're from the neighbor, Daniel is sure the husband is onto the affair and hired the mugger. After Daniel tells David that he's been hired to kill the husband, an elaborate manipulation plays out, with murder, suicide, a payoff, more videos, and a surprise pairing.","tt0089860",9,9,"Drama","tt0089860",60,60,"France"
"tt0089867","Le 4ème pouvoir","Le 4ème pouvoir",1985,100,"6",123,NULL,"He, Yves Dorget, is a major reporter in a daily newspaper. She, Catherine Carré, is a TV news anchor. They had a love affair together, when she was a young beginner journalist, but her ambition and her desire to arrive had separated them. Today, the news brings them back together: he is taken as a hostage and then released by a thug on the run, a thief but not a killer. She holds a cassette proving the compromise of the Prime Minister in a political assassination. The two cases overlap. The news item joins the underside of politics. How will both react? For him, his professional conscience going hand in hand with his rigorous morality, there is only one truth that we owe to the public. For her, the path to choose is more difficult, divided between rediscovered love, her demand for professional integrity and - the seduction of an ambiguous solution. Who can truly secure the ""4th Power""?","tt0089867",9,9,"Drama","tt0089867",60,60,"France"
"tt0089881","Ran","Ran",1985,162,"8.2",113670,"11500000","Japanese warlord Hidetori Ichimonji decides the time has come to retire and divide his fiefdom among his three sons. His eldest and middle sons - Taro and Jiro - agree with his decision and promise to support him for his remaining days. The youngest son Saburo disagrees with all of them arguing that there is little likelihood the three brothers will remain united. Insulted by his son's brashness, the warlord banishes Saburo. As the warlord begins his retirement, he quickly realizes that his two eldest sons selfish and have no intention of keeping their promises. It leads to war and only banished Saburo can possibly save him.","tt0089881",9,9,"Drama","tt0089881",60,60,"France"
"tt0089902","Rendez-vous","Rendez-vous",1985,82,"6.6",2476,NULL,"A woman and three men. Nina, who's come to Paris to act and sleeps with any man at hand, meets Paulot, a young estate agent; he's smitten. She also meets Paulot's flatmate Quentin, a compulsive who stalks her. To Paulot's jealous dismay, she's willing to sleep with Quentin, and wants Paulot's friendship. After a desperate act by Quentin, Nina and Paulot share a flat, but she still won't take him as a lover; instead, her energy goes into a production of ""Romeo and Juliet"" directed by a detached, intense man who becomes her father figure. Quentin's ghost taunts her, Paulot wants to end all contact, and the director plans to return to London. The art of the theater may be her only refuge.","tt0089902",9,9,"Drama","tt0089902",60,60,"France"
"tt0089935","Rosa la rose, fille publique","Rosa la rose, fille publique",1986,92,"6.6",136,NULL,"Rosa la Rose is a Parisian hooker who works in Les Halles area. Her pimp is an understanding guy and she leads an uneventful life. One day she meets Julien, a young worker and falls in love with him. She is torn now between her new found love and her ""professional conscience""...","tt0089935",9,9,"Drama","tt0089935",60,60,"France"
"tt0089960","Sans toit ni loi","Sans toit ni loi",1985,105,"7.7",9350,NULL,"In winter in the south of France, a young woman is found frozen in a ditch. She's unkempt, a vagabond. Through flashbacks and brief interviews, we trace her final weeks as she camps alone or falls in with various men and women, many of whom project their needs onto her or try to give her life direction. She squats in an old house smoking hash with a man, falls for a Tunisian laborer and works beside him pruning grape vines, stays with a couple shepherding goats, meets an agronomist trying to save plane trees, gets tipsy with an old woman, and has an offer to appear in porn films.","tt0089960",9,9,"Drama","tt0089960",60,60,"France"
"tt0090052","Le soulier de satin","Le soulier de satin",1985,410,"6.7",154,NULL,"During the century of the Spanish Gold, Doña Prouhèze, wife of a nobleman, deeply loves Don Rodrigo, who is forced to leave Spain and go to America. Meanwhile Prouhèze is sent to Africa to rule the city of Mogador. Ten years later Rodrigo leaves America and travels to Africa in search of Prouhèze to find out that she died and eventually meeting her daughter.","tt0090052",9,9,"Drama","tt0090052",60,60,"France"
